,0
a,0
b,0
aa,0
ab,0
ba,0
bb,0
aaa,0
aab,0
aba,0
abb,0
baa,0
bab,1
bba,0
bbb,0
aaaa,0
aaab,0
aaba,0
aabb,0
abaa,0
abab,1
abba,0
abbb,0
baaa,0
baab,0
baba,1
babb,1
bbaa,0
bbab,1
bbba,0
bbbb,0
aaaaa,0
aaaab,0
aaaba,0
aaabb,0
aabaa,0
aabab,1
aabba,0
aabbb,0
abaaa,0
abaab,0
ababa,1
ababb,1
abbaa,0
abbab,1
abbba,0
abbbb,0
baaaa,0
baaab,0
baaba,0
baabb,0
babaa,1
babab,1
babba,1
babbb,1
bbaaa,0
bbaab,0
bbaba,1
bbabb,1
bbbaa,0
bbbab,1
bbbba,0
bbbbb,0
aaaaaa,0
aaaaab,0
aaaaba,0
aaaabb,0
aaabaa,0
aaabab,0
aaabba,0
aaabbb,0
aabaaa,0
aabaab,0
aababa,1
aababb,1
aabbaa,0
aabbab,1
aabbba,0
aabbbb,0
abaaaa,0
abaaab,0
abaaba,0
abaabb,0
ababaa,1
ababab,1
ababba,1
ababbb,1
abbaaa,0
abbaab,0
abbaba,1
abbabb,1
abbbaa,0
abbbab,1
abbbba,0
abbbbb,0
baaaaa,0
baaaab,0
baaaba,0
baaabb,0
baabaa,0
baabab,1
baabba,0
baabbb,0
babaaa,0
babaab,1
bababa,1
bababb,1
babbaa,1
babbab,1
babbba,1
babbbb,1
bbaaaa,0
bbaaab,0
bbaaba,0
bbaabb,0
bbabaa,1
bbabab,1
bbabba,1
bbabbb,1
bbbaaa,0
bbbaab,0
bbbaba,1
bbbabb,1
bbbbaa,0
bbbbab,1
bbbbba,0
bbbbbb,0
aaaaaaa,0
aaaaaab,0
aaaaaba,0
aaaaabb,0
aaaabaa,0
aaaabab,0
aaaabba,0
aaaabbb,0
aaabaaa,0
aaabaab,0
aaababa,0
aaababb,0
aaabbaa,0
aaabbab,0
aaabbba,0
aaabbbb,0
aabaaaa,0
aabaaab,0
aabaaba,0
aabaabb,0
aababaa,1
aababab,1
aababba,1
aababbb,1
aabbaaa,0
aabbaab,0
aabbaba,1
aabbabb,1
aabbbaa,0
aabbbab,1
aabbbba,0
aabbbbb,0
abaaaaa,0
abaaaab,0
abaaaba,0
abaaabb,0
abaabaa,0
abaabab,1
abaabba,0
abaabbb,0
ababaaa,0
ababaab,1
abababa,1
abababb,1
ababbaa,1
ababbab,1
ababbba,1
ababbbb,1
abbaaaa,0
abbaaab,0
abbaaba,0
abbaabb,0
