,1
a,0
b,0
aa,0
ab,0
ba,0
bb,0
aaa,0
aab,0
aba,0
abb,0
baa,0
bab,0
bba,0
bbb,0
aaaa,0
aaab,0
aaba,0
aabb,1
abaa,0
abab,1
abba,1
abbb,0
baaa,0
baab,1
baba,1
babb,0
bbaa,1
bbab,0
bbba,0
bbbb,0
aaaaa,1
aaaab,0
aaaba,0
aaabb,0
aabaa,0
aabab,0
aabba,0
aabbb,0
abaaa,0
abaab,0
ababa,0
ababb,0
abbaa,0
abbab,0
abbba,0
abbbb,0
baaaa,0
baaab,0
baaba,0
baabb,0
babaa,0
babab,0
babba,0
babbb,0
bbaaa,0
bbaab,0
bbaba,0
bbabb,0
bbbaa,0
bbbab,0
bbbba,0
bbbbb,0
aaaaaa,0
aaaaab,0
aaaaba,0
aaaabb,0
aaabaa,0
aaabab,0
aaabba,0
aaabbb,0
aabaaa,0
aabaab,0
aababa,0
aababb,0
aabbaa,0
aabbab,0
aabbba,0
aabbbb,0
abaaaa,0
abaaab,0
abaaba,0
abaabb,0
ababaa,0
ababab,0
ababba,0
ababbb,0
abbaaa,0
abbaab,0
abbaba,0
abbabb,0
abbbaa,0
abbbab,0
abbbba,0
abbbbb,0
baaaaa,0
baaaab,0
baaaba,0
baaabb,0
baabaa,0
baabab,0
baabba,0
baabbb,0
babaaa,0
babaab,0
bababa,0
bababb,0
babbaa,0
babbab,0
babbba,0
babbbb,0
bbaaaa,0
bbaaab,0
bbaaba,0
bbaabb,0
bbabaa,0
bbabab,0
bbabba,0
bbabbb,0
bbbaaa,0
bbbaab,0
bbbaba,0
bbbabb,0
bbbbaa,0
bbbbab,0
bbbbba,0
bbbbbb,0
aaaaaaa,0
aaaaaab,0
aaaaaba,0
aaaaabb,0
aaaabaa,0
aaaabab,0
aaaabba,0
aaaabbb,0
aaabaaa,0
aaabaab,0
aaababa,0
aaababb,0
aaabbaa,0
aaabbab,0
aaabbba,0
aaabbbb,0
aabaaaa,0
aabaaab,0
aabaaba,0
aabaabb,0
aababaa,0
aababab,0
aababba,0
aababbb,0
aabbaaa,0
aabbaab,0
aabbaba,0
aabbabb,0
aabbbaa,0
aabbbab,0
aabbbba,0
aabbbbb,0
abaaaaa,0
abaaaab,0
abaaaba,0
abaaabb,0
abaabaa,0
abaabab,0
abaabba,0
abaabbb,0
ababaaa,0
ababaab,0
abababa,0
abababb,0
ababbaa,0
ababbab,0
ababbba,0
ababbbb,0
abbaaaa,0
abbaaab,0
abbaaba,0
abbaabb,0
