,0
a,0
b,0
c,0
aa,0
ab,0
ac,0
ba,0
bb,0
bc,0
ca,0
cb,0
cc,0
aaa,0
aab,0
aac,0
aba,0
abb,0
abc,0
aca,0
acb,0
acc,0
baa,0
bab,0
bac,0
bba,0
bbb,0
bbc,0
bca,0
bcb,0
bcc,0
caa,0
cab,0
cac,0
cba,0
cbb,0
cbc,0
cca,0
ccb,0
ccc,0
aaaa,0
aaab,0
aaac,0
aaba,0
aabb,0
aabc,0
aaca,0
aacb,0
aacc,0
abaa,0
abab,0
abac,0
abba,0
abbb,0
abbc,0
abca,0
abcb,0
abcc,0
acaa,0
acab,0
acac,0
acba,0
acbb,0
acbc,0
acca,0
accb,0
accc,0
baaa,0
baab,0
baac,0
baba,0
babb,0
babc,0
baca,0
bacb,0
bacc,0
bbaa,0
bbab,0
bbac,0
bbba,0
bbbb,0
bbbc,0
bbca,0
bbcb,0
bbcc,0
bcaa,0
bcab,0
bcac,0
bcba,0
bcbb,0
bcbc,0
bcca,0
bccb,0
bccc,0
caaa,0
caab,0
caac,0
caba,0
cabb,0
cabc,0
caca,0
cacb,0
cacc,0
cbaa,0
cbab,0
cbac,0
cbba,0
cbbb,0
cbbc,0
cbca,0
cbcb,0
cbcc,0
ccaa,0
ccab,0
ccac,0
ccba,0
ccbb,0
ccbc,0
ccca,0
cccb,0
cccc,0
cbbcabbbacccc,0
baacabbcacbbaabac,0
cabbcbcccbcccabba,0
bbccca,0
cbacaaaccacabccccac,0
cacbbbbccb,0
abcaccbbaaaaaabbcbb,0
bcbbacabbcc,0
abcbaabbbaacbbc,0
bbcaacacac,0
bbcabaabbbba,0
bbacacb,0
bbbbcacacaaabaababa,0
abcccbaacacaabcca,0
caabbccbcbaaa,0
bbaac,0
acacca,0
bcaacccbb,0
aaacacccbbac,0
bcaabacbaccbabccbbbc,0
cbcaaa,0
cabcccac,0
babbbc,0
aaccaccccaabbb,0
cccaacabaabccbccacb,0
bcccbbbcbccaa,0
bbcaaca,0
cabbabbcbbcbbbbc,0
accbbaaca,0
accbbbc,0
acabccbabaccccacbaab,0
accabacabcaccaabab,0
babbcbbcb,0
abcaacacbcc,0
aabbccbacaccabb,0
acaacbabbaaaabcbacc,0
cccbbab,0
cbcbcabcaaabbbc,0
cccaaccbabb,0
bcaccabbaabbc,0
abbaabacbcaaabbbcb,0
aacbbabcacc,0
bcbccbcaaabcbac,0
bbbbcabacb,0
baaacaa,0
cbccbc,0
caaaac,0
acacbaacaaaabca,0
