,0
a,1
b,1
c,1
aa,0
ab,1
ac,0
ba,0
bb,1
bc,1
ca,0
cb,1
cc,1
aaa,0
aab,0
aac,0
aba,0
abb,1
abc,1
aca,1
acb,1
acc,1
baa,0
bab,0
bac,0
bba,0
bbb,1
bbc,1
bca,0
bcb,1
bcc,0
caa,0
cab,0
cac,0
cba,0
cbb,1
cbc,1
cca,0
ccb,1
ccc,0
aaaa,1
aaab,1
aaac,1
aaba,0
aabb,0
aabc,0
aaca,0
aacb,0
aacc,0
abaa,0
abab,0
abac,0
abba,0
abbb,1
abbc,1
abca,0
abcb,1
abcc,0
acaa,0
acab,1
acac,0
acba,0
acbb,1
acbc,1
acca,0
accb,1
accc,1
baaa,1
baab,1
baac,1
baba,0
babb,0
babc,0
baca,0
bacb,0
bacc,0
bbaa,0
bbab,0
bbac,0
bbba,0
bbbb,1
bbbc,1
bbca,0
bbcb,1
bbcc,0
bcaa,0
bcab,0
bcac,0
bcba,0
bcbb,1
bcbc,1
bcca,1
bccb,1
bccc,1
caaa,1
caab,1
caac,1
caba,0
cabb,0
cabc,0
caca,0
cacb,0
cacc,0
cbaa,0
cbab,0
cbac,0
cbba,0
cbbb,1
cbbc,1
cbca,0
cbcb,1
cbcc,0
ccaa,0
ccab,0
ccac,0
ccba,0
ccbb,1
ccbc,1
ccca,1
cccb,1
cccc,1
aaaaa,0
aaaab,1
aaaac,0
aaaba,0
aaabb,1
aaabc,1
aaaca,0
aaacb,1
aaacc,1
aabaa,1
aabab,1
aabac,1
aabba,0
aabbb,0
aabbc,0
aabca,0
aabcb,0
aabcc,0
aacaa,1
aacab,1
aacac,1
aacba,0
aacbb,0
aacbc,0
aacca,0
aaccb,0
aaccc,0
abaaa,1
abaab,1
abaac,1
ababa,0
ababb,0
ababc,0
abaca,0
abacb,0
abacc,0
abbaa,0
abbab,0
abbac,0
abbba,0
abbbb,1
abbbc,1
abbca,0
abbcb,1
abbcc,0
abcaa,0
abcab,0
abcac,0
abcba,0
abcbb,1
abcbc,1
abcca,1
abccb,1
abccc,1
acaaa,0
acaab,0
acaac,0
acaba,0
acabb,1
acabc,1
acaca,1
acacb,1
acacc,1
acbaa,0
acbab,0
acbac,0
acbba,0
acbbb,1
acbbc,1
acbca,0
acbcb,1
acbcc,0
accaa,0
accab,0
accac,0
accba,0
accbb,1
accbc,1
accca,0
acccb,1
acccc,0
baaaa,0
baaab,1
baaac,0
baaba,0
baabb,1
baabc,1
baaca,0
baacb,1
baacc,1
babaa,1
babab,1
babac,1
babba,0
babbb,0
babbc,0
babca,0
babcb,0
babcc,0
bacaa,1
bacab,1
bacac,1
bacba,0
bacbb,0
bacbc,0
bacca,0
baccb,0
baccc,0
bbaaa,1
bbaab,1
bbaac,1
bbaba,0
bbabb,0
bbabc,0
bbaca,0
bbacb,0
bbacc,0
bbbaa,0
bbbab,0
bbbac,0
bbbba,0
bbbbb,1
bbbbc,1
bbbca,0
bbbcb,1
bbbcc,0
bbcaa,0
bbcab,0
bbcac,0
bbcba,0
bbcbb,1
bbcbc,1
bbcca,1
bbccb,1
bbccc,1
bcaaa,1
bcaab,1
bcaac,1
bcaba,0
bcabb,0
bcabc,0
bcaca,0
bcacb,0
bcacc,0
bcbaa,0
bcbab,0
bcbac,0
bcbba,0
bcbbb,1
bcbbc,1
bcbca,0
bcbcb,1
bcbcc,0
bccaa,0
bccab,1
bccac,0
bccba,0
bccbb,1
bccbc,1
bccca,0
bcccb,1
bcccc,1
caaaa,0
caaab,1
caaac,0
caaba,0
caabb,1
caabc,1
caaca,0
caacb,1
caacc,1
cabaa,1
cabab,1
cabac,1
cabba,0
cabbb,0
cabbc,0
cabca,0
cabcb,0
cabcc,0
cacaa,1
cacab,1
cacac,1
cacba,0
cacbb,0
cacbc,0
cacca,0
caccb,0
caccc,0
cbaaa,1
cbaab,1
cbaac,1
cbaba,0
cbabb,0
cbabc,0
cbaca,0
cbacb,0
cbacc,0
cbbaa,0
cbbab,0
cbbac,0
cbbba,0
cbbbb,1
cbbbc,1
cbbca,0
cbbcb,1
cbbcc,0
cbcaa,0
cbcab,0
cbcac,0
cbcba,0
cbcbb,1
cbcbc,1
cbcca,1
cbccb,1
cbccc,1
ccaaa,1
ccaab,1
ccaac,1
ccaba,0
ccabb,0
ccabc,0
ccaca,0
ccacb,0
ccacc,0
ccbaa,0
ccbab,0
ccbac,0
ccbba,0
ccbbb,1
ccbbc,1
ccbca,0
ccbcb,1
ccbcc,0
cccaa,0
cccab,1
cccac,0
cccba,0
cccbb,1
cccbc,1
cccca,0
ccccb,1
ccccc,1
bbcacbababbbcbc,0
abcabb,0
cbbaaaccabba,0
bcbabccbc,0
abbcbba,0
cbbbbbccccacb,0
bbabcbcbbac,1
cbabac,1
bccbba,0
abbaca,0
baabcbacbcac,1
aabbccacbaaaaab,1
aabcaaabcb,0
bbbcbacccbbcccb,0
cccbbcccac,0
bbaaaacbca,0
baccbacc,1
acbacbccbcb,0
accccbbb,1
ccabcbaabc,1
baacbba,0
bccbccbcca,1
cbcaaa,1
bbbbbacacbaa,0
abaabab,0
aacbbc,0
abccaca,1
bcacbcabbaca,0
ccbbbbbbbaabb,1
bcbaccbbcaca,0
caaabbbbcaa,0
babaaccabbb,0
bacaabaabbcca,1
babbccbaaa,0
acbbab,0
baaaaabbaa,0
acbbbccccbb,1
aacacab,0
bbacbbcbaacba,0
bbbcca,1
baaacabaaaaaa,1
caaacacac,0
bbbbcbbcacbc,0
cacbbbbabcabac,1
cccbbacccab,1
babbccbbbcabcca,1
abbcaabcca,1
cbabacca,0
aababacabcabacc,1
bcbbccaacbaa,1
caaacab,1
caaaccacbcb,0
caccaacbcc,0
baaabbaaaaa,0
aaaabbcbaaaaa,0
abaacca,0
cbaaaa,0
babbbaabccbcc,0
bcbaabcb,1
bacaca,0
bcacbab,1
caccab,1
cbaaacabbccc,1
aabacc,1
caaabcccbcbcbb,1
bbbcbcbaaacbc,1
ccacbaccccbb,1
aabacabcbacccbc,1
bbacabcaab,1
ccbaaaccbcb,1
acbabccbbcabccb,1
bcbaacbc,1
caabbbb,1
caabbcccc,1
abbccb,1
acacaca,1
cccabb,1
bbccbbcbc,1
bbbbbccbbacaccb,1
acbcaaa,1
accaabb,1
aaaaaabbcaaabb,1
acbbbbaaa,1
aaababac,1
accbbbabbbaccbc,1
babccabc,1
abbacabbb,1
bbccccbacabccab,1
bcabcabcbbcbb,1
cbbabccccaaccc,1
cacabbc,1
cbaababcaa,1
cbaaaaccaab,1
bbaabc,1
bcabccbaabcabac,1
bbbabcaacbbcca,1
ccbcabbbcaaccb,1
cccabaccbcacc,1
aacbcccacc,1
bbbcbababcb,1
cbbbacaaccbc,1
cccabcbbcabbbaa,1
ababbbabcb,1
cbabcaa,1
bbbcbccbcbaaa,1
bbcacccbaab,1
abacbcbabbb,1
bbaaacaabbabc,1
cbbabab,1
ccccbc,1
bccccb,1
acbbcaacaabccb,1
cbcabbaccacab,1
bccbbb,1
cabacbbc,1
bbaaab,1
acaaacaabbccb,1
acabbbc,1
bccacccbcccbccc,1
bbbacacbb,1
bccbbbacbaa,1
babccaa,1
acaaaccb,1
bacbaabcb,1
cacbcbbbaacbcbc,1
cbccbb,1
bccccccccabbcb,1
abbcccbabacc,1
baaccb,1
aaccbacbbccbccc,1
aabbacccbbb,1
bbbcbcbbabab,1
acbbcaabbc,1
abacbacbb,1
