,1
a,1
b,1
c,1
d,1
e,1
aa,1
ab,1
ac,1
ad,1
ae,1
ba,0
bb,1
bc,1
bd,1
be,1
ca,0
cb,0
cc,1
cd,1
ce,1
da,0
db,0
dc,0
dd,1
de,1
ea,0
eb,0
ec,0
ed,0
ee,1
aaa,1
aab,1
aac,1
aad,1
aae,1
aba,0
abb,1
abc,1
abd,1
abe,1
aca,0
acb,0
acc,1
acd,1
ace,1
ada,0
adb,0
adc,0
add,1
ade,1
aea,0
aeb,0
aec,0
aed,0
aee,1
baa,0
bab,0
bac,0
bad,0
bae,0
bba,0
bbb,1
bbc,1
bbd,1
bbe,1
bca,0
bcb,0
bcc,1
bcd,1
bce,1
bda,0
bdb,0
bdc,0
bdd,1
bde,1
bea,0
beb,0
bec,0
bed,0
bee,1
caa,0
cab,0
cac,0
cad,0
cae,0
cba,0
cbb,0
cbc,0
cbd,0
cbe,0
cca,0
ccb,0
ccc,1
ccd,1
cce,1
cda,0
cdb,0
cdc,0
cdd,1
cde,1
cea,0
ceb,0
cec,0
ced,0
cee,1
daa,0
dab,0
dac,0
dad,0
dae,0
dba,0
dbb,0
dbc,0
dbd,0
dbe,0
dca,0
dcb,0
dcc,0
dcd,0
dce,0
dda,0
ddb,0
ddc,0
ddd,1
dde,1
dea,0
deb,0
dec,0
ded,0
dee,1
eaa,0
eab,0
eac,0
ead,0
eae,0
eba,0
ebb,0
ebc,0
ebd,0
ebe,0
eca,0
ecb,0
ecc,0
ecd,0
ece,0
eda,0
edb,0
edc,0
edd,0
ede,0
eea,0
eeb,0
eec,0
eed,0
eee,1
aaaa,1
aaab,1
aaac,1
aaad,1
aaae,1
aaba,0
aabb,1
aabc,1
aabd,1
aabe,1
aaca,0
aacb,0
aacc,1
aacd,1
aace,1
aada,0
aadb,0
aadc,0
aadd,1
aade,1
aaea,0
aaeb,0
aaec,0
aaed,0
aaee,1
abaa,0
abab,0
abac,0
abad,0
abae,0
abba,0
abbb,1
abbc,1
abbd,1
abbe,1
abca,0
abcb,0
abcc,1
abcd,1
abce,1
abda,0
abdb,0
abdc,0
abdd,1
abde,1
abea,0
abeb,0
abec,0
abed,0
abee,1
acaa,0
acab,0
acac,0
acad,0
acae,0
acba,0
acbb,0
acbc,0
acbd,0
acbe,0
acca,0
accb,0
accc,1
accd,1
acce,1
acda,0
acdb,0
acdc,0
acdd,1
acde,1
acea,0
aceb,0
acec,0
aced,0
acee,1
adaa,0
adab,0
adac,0
adad,0
adae,0
adba,0
adbb,0
adbc,0
adbd,0
adbe,0
adca,0
adcb,0
adcc,0
adcd,0
adce,0
adda,0
addb,0
addc,0
addd,1
adde,1
adea,0
adeb,0
adec,0
aded,0
adee,1
aeaa,0
aeab,0
aeac,0
aead,0
aeae,0
aeba,0
aebb,0
aebc,0
aebd,0
aebe,0
aeca,0
aecb,0
aecc,0
aecd,0
aece,0
aeda,0
aedb,0
aedc,0
aedd,0
aede,0
aeea,0
aeeb,0
aeec,0
aeed,0
aeee,1
baaa,0
baab,0
baac,0
baad,0
baae,0
baba,0
babb,0
babc,0
babd,0
babe,0
baca,0
bacb,0
bacc,0
bacd,0
bace,0
bada,0
badb,0
badc,0
badd,0
bade,0
baea,0
baeb,0
baec,0
baed,0
baee,0
bbaa,0
bbab,0
bbac,0
bbad,0
bbae,0
bbba,0
bbbb,1
bbbc,1
bbbd,1
bbbe,1
bbca,0
bbcb,0
bbcc,1
bbcd,1
bbce,1
bbda,0
bbdb,0
bbdc,0
bbdd,1
bbde,1
bbea,0
bbeb,0
bbec,0
bbed,0
bbee,1
bcaa,0
bcab,0
bcac,0
bcad,0
bcae,0
bcba,0
bcbb,0
bcbc,0
bcbd,0
bcbe,0
bcca,0
bccb,0
bccc,1
bccd,1
bcce,1
bcda,0
bcdb,0
bcdc,0
bcdd,1
bcde,1
bcea,0
bceb,0
bcec,0
bced,0
bcee,1
bdaa,0
bdab,0
bdac,0
bdad,0
bdae,0
bdba,0
bdbb,0
bdbc,0
bdbd,0
bdbe,0
bdca,0
bdcb,0
bdcc,0
bdcd,0
bdce,0
bdda,0
bddb,0
bddc,0
bddd,1
bdde,1
bdea,0
bdeb,0
bdec,0
bded,0
bdee,1
beaa,0
beab,0
beac,0
bead,0
beae,0
beba,0
bebb,0
bebc,0
bebd,0
bebe,0
beca,0
becb,0
becc,0
becd,0
bece,0
beda,0
bedb,0
bedc,0
bedd,0
bede,0
beea,0
beeb,0
beec,0
beed,0
beee,1
caaa,0
caab,0
caac,0
caad,0
caae,0
caba,0
cabb,0
cabc,0
cabd,0
cabe,0
caca,0
cacb,0
cacc,0
cacd,0
cace,0
cada,0
cadb,0
cadc,0
cadd,0
cade,0
caea,0
caeb,0
caec,0
caed,0
caee,0
cbaa,0
cbab,0
cbac,0
cbad,0
cbae,0
cbba,0
cbbb,0
cbbc,0
cbbd,0
cbbe,0
cbca,0
cbcb,0
cbcc,0
cbcd,0
cbce,0
cbda,0
cbdb,0
cbdc,0
cbdd,0
cbde,0
cbea,0
cbeb,0
cbec,0
cbed,0
cbee,0
ccaa,0
ccab,0
ccac,0
ccad,0
ccae,0
ccba,0
ccbb,0
ccbc,0
ccbd,0
ccbe,0
ccca,0
cccb,0
cccc,1
cccd,1
ccce,1
ccda,0
ccdb,0
ccdc,0
ccdd,1
ccde,1
ccea,0
cceb,0
ccec,0
cced,0
ccee,1
cdaa,0
cdab,0
cdac,0
cdad,0
cdae,0
cdba,0
cdbb,0
cdbc,0
cdbd,0
cdbe,0
cdca,0
cdcb,0
cdcc,0
cdcd,0
cdce,0
cdda,0
cddb,0
cddc,0
cddd,1
cdde,1
cdea,0
cdeb,0
cdec,0
cded,0
cdee,1
ceaa,0
ceab,0
ceac,0
cead,0
ceae,0
ceba,0
cebb,0
cebc,0
cebd,0
cebe,0
ceca,0
cecb,0
cecc,0
cecd,0
cece,0
ceda,0
cedb,0
cedc,0
cedd,0
cede,0
ceea,0
ceeb,0
ceec,0
ceed,0
ceee,1
daaa,0
daab,0
daac,0
daad,0
daae,0
daba,0
dabb,0
dabc,0
dabd,0
dabe,0
daca,0
dacb,0
dacc,0
dacd,0
dace,0
dada,0
dadb,0
dadc,0
dadd,0
dade,0
daea,0
daeb,0
daec,0
daed,0
daee,0
dbaa,0
dbab,0
dbac,0
dbad,0
dbae,0
dbba,0
dbbb,0
dbbc,0
dbbd,0
dbbe,0
dbca,0
dbcb,0
dbcc,0
dbcd,0
dbce,0
dbda,0
dbdb,0
dbdc,0
dbdd,0
dbde,0
dbea,0
dbeb,0
dbec,0
dbed,0
dbee,0
dcaa,0
dcab,0
dcac,0
dcad,0
dcae,0
dcba,0
dcbb,0
dcbc,0
dcbd,0
dcbe,0
dcca,0
dccb,0
dccc,0
dccd,0
dcce,0
dcda,0
dcdb,0
dcdc,0
dcdd,0
dcde,0
dcea,0
dceb,0
dcec,0
dced,0
dcee,0
ddaa,0
ddab,0
ddac,0
ddad,0
ddae,0
ddba,0
ddbb,0
ddbc,0
ddbd,0
ddbe,0
ddca,0
ddcb,0
ddcc,0
ddcd,0
ddce,0
ddda,0
dddb,0
dddc,0
dddd,1
ddde,1
ddea,0
ddeb,0
ddec,0
dded,0
ddee,1
deaa,0
deab,0
deac,0
dead,0
deae,0
deba,0
debb,0
debc,0
debd,0
debe,0
deca,0
decb,0
decc,0
decd,0
dece,0
deda,0
dedb,0
dedc,0
