,0
a,0
b,0
aa,0
ab,0
ba,0
bb,0
aaa,0
aab,0
aba,0
abb,0
baa,1
bab,0
bba,0
bbb,0
aaaa,0
aaab,0
aaba,0
aabb,0
abaa,1
abab,0
abba,0
abbb,0
baaa,1
baab,1
baba,0
babb,0
bbaa,1
bbab,0
bbba,0
bbbb,0
aaaaa,0
aaaab,0
aaaba,0
aaabb,0
aabaa,1
aabab,0
aabba,0
aabbb,0
abaaa,1
abaab,1
ababa,0
ababb,0
abbaa,1
abbab,0
abbba,0
abbbb,0
baaaa,1
baaab,1
baaba,1
baabb,1
babaa,1
babab,0
babba,0
babbb,0
bbaaa,1
bbaab,1
bbaba,0
bbabb,0
bbbaa,1
bbbab,0
bbbba,0
bbbbb,0
aaaaaa,0
aaaaab,0
aaaaba,0
aaaabb,0
aaabaa,1
aaabab,0
aaabba,0
aaabbb,0
aabaaa,1
aabaab,1
aababa,0
aababb,0
aabbaa,1
aabbab,0
aabbba,0
aabbbb,0
abaaaa,1
abaaab,1
abaaba,1
abaabb,1
ababaa,1
ababab,0
ababba,0
ababbb,0
abbaaa,1
abbaab,1
abbaba,0
abbabb,0
abbbaa,1
abbbab,0
abbbba,0
abbbbb,0
baaaaa,1
baaaab,1
baaaba,1
baaabb,1
baabaa,0
baabab,1
baabba,1
baabbb,1
babaaa,1
babaab,1
bababa,0
bababb,0
babbaa,1
babbab,0
babbba,0
babbbb,0
bbaaaa,1
bbaaab,1
bbaaba,1
bbaabb,1
bbabaa,1
bbabab,0
bbabba,0
bbabbb,0
bbbaaa,1
bbbaab,1
bbbaba,0
bbbabb,0
bbbbaa,1
bbbbab,0
bbbbba,0
bbbbbb,0
aaaaaaa,0
aaaaaab,0
aaaaaba,0
aaaaabb,0
aaaabaa,1
aaaabab,0
aaaabba,0
aaaabbb,0
aaabaaa,1
aaabaab,1
aaababa,0
aaababb,0
aaabbaa,1
aaabbab,0
aaabbba,0
aaabbbb,0
aabaaaa,1
aabaaab,1
aabaaba,1
aabaabb,1
aababaa,1
aababab,0
aababba,0
aababbb,0
aabbaaa,1
aabbaab,1
aabbaba,0
aabbabb,0
aabbbaa,1
aabbbab,0
aabbbba,0
aabbbbb,0
abaaaaa,1
abaaaab,1
abaaaba,1
abaaabb,1
abaabaa,0
abaabab,1
abaabba,1
abaabbb,1
ababaaa,1
ababaab,1
abababa,0
abababb,0
ababbaa,1
ababbab,0
ababbba,0
ababbbb,0
abbaaaa,1
abbaaab,1
abbaaba,1
abbaabb,1
