,1
a,1
b,1
aa,0
ab,1
ba,1
bb,0
aaa,0
aab,0
aba,1
abb,0
baa,0
bab,1
bba,0
bbb,0
aaaa,0
aaab,0
aaba,0
aabb,0
abaa,0
abab,1
abba,0
abbb,0
baaa,0
baab,0
baba,1
babb,0
bbaa,0
bbab,0
bbba,0
bbbb,0
aaaaa,0
aaaab,0
aaaba,0
aaabb,0
aabaa,0
aabab,0
aabba,0
aabbb,0
abaaa,0
abaab,0
ababa,1
ababb,0
abbaa,0
abbab,0
abbba,0
abbbb,0
baaaa,0
baaab,0
baaba,0
baabb,0
babaa,0
babab,1
babba,0
babbb,0
bbaaa,0
bbaab,0
bbaba,0
bbabb,0
bbbaa,0
bbbab,0
bbbba,0
bbbbb,0
ababa,1
abbbabbbba,0
aababa,0
bbaaaab,0
aaaba,0
ababbabba,0
ab,1
aaababbabab,0
baaaaa,0
bbbabbaa,0
bbb,0
aaabbbaaaabbbb,0
baabaabbabaab,0
a,1
babaaaaa,0
aaabbbaba,0
baaabbaa,0
aba,1
bbaaabaaba,0
abaababbbaa,0
abba,0
aaaabaababa,0
abbaabaaaa,0
ab,1
bab,1
bbaaabba,0
bbbabaaabbaaaa,0
aaaabba,0
aaabaaabab,0
aab,0
abaabaaaaabbabb,0
b,1
bbaabba,0
abaabbabaaa,0
b,1
baa,0
aaaaaaaabbbb,0
abaa,0
bbabaabaa,0
baa,0
babaaababbaba,0
abaabba,0
bbba,0
bbaa,0
abbaaabbbba,0
abaaaaaabababba,0
baaabaab,0
babba,0
bababba,0
babbbabaaababbb,0
ab,1
baaaabaaa,0
aabbbaaabbbaa,0
aaaa,0
aaabbabaaab,0
aabbabbaaab,0
babbbba,0
abbaa,0
babbababaabaaa,0
b,1
abbaababbbbba,0
b,1
bbabbabaababa,0
baabb,0
baaaaabbababa,0
baaaaab,0
b,1
aabaababb,0
abaaaabbabb,0
aabbbaabbb,0
abaaaaaabaaaba,0
bbbaa,0
abbababb,0
aaabaa,0
aaa,0
baaababb,0
aabbbabaaaab,0
abaaabbab,0
bab,1
babaaababbabbb,0
bbaaabbbaaabbab,0
bbbbba,0
bbbbbaababbab,0
aaabbabaaaabab,0
babbbbb,0
bb,0
babaabaa,0
bababa,1
aba,1
bbbaabbba,0
aababa,0
bbaabbbaabbb,0
aabab,0
aaabb,0
baab,0
abbbb,0
aabb,0
babaaabbaababaa,0
abbbaaabbaabba,0
abaaab,0
babbaaaabbabbbb,0
b,1
aababaa,0
aa,0
b,1
bbbbabbabbbbbba,0
aabbbabbbabba,0
bbaaaa,0
aa,0
baabaaabb,0
bab,1
ab,1
abaab,0
abbaaaaab,0
bbabbab,0
bbbabbbb,0
abaaaa,0
baaababbab,0
aababa,0
abaaaabbab,0
baabaaaa,0
bbbbbb,0
abaaaaaba,0
abaaababa,0
babba,0
aababbbaba,0
babbabbabababaa,0
aaabbababaabb,0
bababaabaab,0
bbbbababa,0
bbbbbab,0
abababbabaaabab,0
abaaabbbbababa,0
bbbbbabbabbbb,0
bab,1
bbbbb,0
aaa,0
abba,0
baba,1
baabb,0
abbbaabbbabbaab,0
aaa,0
aababbabababbb,0
bbabaabba,0
aabbbbb,0
bbbbbb,0
abababbaba,0
abab,1
bbab,0
ababa,1
bbababaa,0
abaaaaab,0
babbbbabbbb,0
baaaabaa,0
aabbaaabbaabb,0
ba,1
babaa,0
aaa,0
aaaab,0
ababbaababbbb,0
ba,1
babaabbabaabaa,0
ab,1
a,1
aaaaaa,0
bbbabbbbba,0
ab,1
bbbaaa,0
babababb,0
ababb,0
bbbbaaabbaaa,0
baaabbbba,0
bbbbaaba,0
ababbaaaa,0
abb,0
b,1
ababbbabba,0
bbbbbabbaba,0
a,1
aabbbbb,0
ababaaabb,0
bbbbb,0
bababaaabb,0
aabb,0
bbab,0
bbbb,0
bbaaa,0
ababbbbabaa,0
aaaabbbaab,0
baab,0
b,1
bbaaabaa,0
bbb,0
abaabaabbbbb,0
abaabba,0
aaaaabbab,0
bbabaaaabbbab,0
aabaaaab,0
ababaaaabb,0
baaaaab,0
baabbabbb,0
bbbabaaaabbaba,0
abbbbaabbbba,0
bbbba,0
ababbbabaaab,0
bb,0
ababb,0
aba,1
aabbbbaaaa,0
abbaaabbbabbb,0
abbabaabaaaba,0
baaaaabbbbaaab,0
aaba,0
a,1
bbababababab,0
baabb,0
bbababbaabbbaa,0
abbbabb,0
bbabbbabbaaa,0
aaaabbba,0
aa,0
abbbbbabbbaba,0
ababbaaaabb,0
bbbbaaaaaaaba,0
aabbbbaaba,0
bbbbbabaababaab,0
babbba,0
aabababbaa,0
aabaababbbb,0
ab,1
abbabbbbba,0
abbaaabbaaaaabb,0
bababababababab,1
babababa,1
babababababa,1
babababa,1
ababababa,1
babab,1
bababab,1
bababababa,1
bab,1
bababababababa,1
ababababa,1
babababa,1
abababab,1
ababababa,1
baba,1
abababababab,1
bababa,1
babababab,1
abababa,1
ababa,1
babababab,1
ababababa,1
abababa,1
abababababababa,1
abababababab,1
ababa,1
ababababab,1
ababababababab,1
ba,1
abababababab,1
abababababababa,1
abababababababa,1
babababababa,1
ababababababab,1
baba,1
ba,1
bababababababa,1
ababababa,1
b,1
babababab,1
babababab,1
abab,1
ababababa,1
baba,1
ababababababab,1
ababa,1
ababa,1
bababababababab,1
abab,1
ba,1
abababababab,1
bababababab,1
ba,1
bababababababa,1
bababababa,1
abababababa,1
ababa,1
bababababa,1
abababababa,1
ababa,1
babababa,1
baba,1
bababa,1
abababababab,1
abababababab,1
b,1
abababababababa,1
ab,1
bababababababa,1
bababababababab,1
bababababababa,1
a,1
abababab,1
ababab,1
babababababab,1
ababababababa,1
babababababab,1
b,1
a,1
ababababababa,1
babababa,1
babababababa,1
ababababababa,1
babababa,1
babababa,1
abababababa,1
ababab,1
bababababababa,1
a,1
bababa,1
babababa,1
abababababab,1
babababab,1
a,1
ababababababa,1
ababababababab,1
b,1
ababababababa,1
ababababababab,1
ababababababab,1
abababab,1
bababababa,1
a,1
ababababab,1
abababababab,1
bababababababab,1
ababababababab,1
abababababab,1
aba,1
baba,1
ababababababab,1
ababababababa,1
abababababab,1
bababab,1
babab,1
babababababab,1
babababab,1
ba,1
abab,1
aba,1
babababab,1
babababababa,1
a,1
abababab,1
abababababab,1
bababababab,1
bababab,1
abababababababa,1
abab,1
ab,1
bababababa,1
abab,1
ba,1
abababababab,1
ba,1
abababababab,1
bababababa,1
bababa,1
abababababababa,1
babababababab,1
bababababab,1
ababababababa,1
babababababa,1
babababab,1
abababababab,1
babababababab,1
bababa,1
babababab,1
ababab,1
baba,1
ababababababab,1
bababababababab,1
bababababa,1
babababab,1
a,1
abababababa,1
bababababababa,1
babababab,1
b,1
abababab,1
babababab,1
ba,1
bababab,1
abababa,1
babababababab,1
ababababababab,1
abababababab,1
bababababababab,1
bababababa,1
ababababab,1
bababababa,1
a,1
ababababababab,1
aba,1
babababab,1
bababa,1
bababab,1
babababa,1
aba,1
bababababababa,1
ababababa,1
babababab,1
ababababababab,1
abababababa,1
ababababababa,1
aba,1
ab,1
ababababab,1
abababa,1
bab,1
ab,1
babababababab,1
abababababa,1
ba,1
abababab,1
baba,1
b,1
bababa,1
aba,1
bababababababab,1
bababababab,1
abababababababa,1
bababababa,1
baba,1
babab,1
